hour;date;Índice de calor;Humedad relativa;Presión de vapor;Radiación solar;Temperatura;Punto de rocío;Temperatura del bulbo húmedo;Velocidad del viento;Racha de viento máxima;Dirección del viento;Humectación en hoja (porcentaje);Presión atmosférica;Precipitaciones
2;06/02/2024;3,2;97;8,19;0;3,2;2,76;3,0221914;0,25;1,75;258,75;3;945,2;0
3;06/02/2024;2,4;97,25;7,76;0;2,4;2,005;2,242820472;0;1,5;157,5;3,5;945,05;0
4;06/02/2024;2,125;98;7,615;0;2,125;1,835;2,012169151;0,75;2,5;213,75;4;944,725;0
5;06/02/2024;2;98;7,55;0;2;1,71;1,887808516;0,5;2;33,75;4,25;944,575;0
6;06/02/2024;2,1;98;7,6;0;2,1;1,81;1,987272864;1;2,25;101,25;5;944,35;0
7;06/02/2024;1,875;98,75;7,4875;0;1,875;1,6975;1,805287583;0,25;1,25;67,5;5;944,325;0
8;06/02/2024;1,8;99;7,45;6,75;1,8;1,66;1,744462452;0,5;2;191,25;5;944,575;0
9;06/02/2024;3,075;99;8,1225;72,75;3,075;2,935;3,016140922;1,25;2,75;146,25;8,25;944,975;0
10;06/02/2024;4,35;99;8,8425;102;4,35;4,2;4,287744169;0,5;1,75;146,25;12,25;944,95;0
11;06/02/2024;5,35;98,75;9,455;144;5,35;5,1625;5,268391154;0,75;2,5;112,5;0;945,05;0
12;06/02/2024;7,15;92,5;10,6425;208,5;7,15;5,995;6,617994403;2,75;5,5;180;0;945;0
13;06/02/2024;9,325;85;12,255;342;9,325;6,8975;8,162237263;6,75;11,25;202,5;0;944,325;0
14;06/02/2024;11,675;78,75;14,2325;360;11,675;8,065;9,86588611;4,5;10,25;196,875;0;943,375;0
15;06/02/2024;12,375;76,5;14,875;246;12,375;8,315;10,31762482;6;10;180;0;942,675;0
16;06/02/2024;13,575;71;16,035;140,25;13,575;8,3625;10,90602542;7;11;168,75;0;942,35;0
17;06/02/2024;13,925;66,75;16,3875;31,5;13,925;7,7875;10,81100946;6,5;10,25;202,5;0;942,1;0
18;06/02/2024;12,075;69,5;14,6025;9;12,075;6,6075;9,40606039;3;5,25;202,5;0;942,15;0
19;06/02/2024;8,625;81;11,73;0;8,625;5,4975;7,176697089;0,75;2;45;0;942,45;0
20;06/02/2024;5,6;90,25;9,6125;0;5,6;4,105;4,95205308;0;0;101,25;3,5;942,675;0
21;06/02/2024;4,35;93;8,8425;0;4,35;3,3;3,910820883;0,25;1,5;45;4,75;942,7;0
22;06/02/2024;3,725;94,5;8,4825;0;3,725;2,9125;3,389958402;0,25;1,25;180;4;942,775;0
23;06/02/2024;3,15;95,25;8,16;0;3,15;2,455;2,868595476;1;3;168,75;4;942,85;0
0;07/02/2024;3,6;92,25;8,4125;0;3,6;2,4425;3,128016352;0,75;2;101,25;5;942,725;0
1;07/02/2024;3,975;90,25;8,6275;0;3,975;2,505;3,371852065;1;3;168,75;5,75;942,65;0
2;07/02/2024;3,15;91,5;8,1675;0;3,15;1,8825;2,643733665;0;1,25;11,25;6;942,475;0
3;07/02/2024;1,7;95,25;7,4025;0;1,7;1,015;1,437205485;0,25;2;90;5,25;942,275;0
4;07/02/2024;1,7;94,5;7,405;0;1,7;0,8975;1,392363509;1,25;2,25;101,25;5,5;941,875;0
5;07/02/2024;3,45;95,5;8,3525;0;3,45;2,785;3,17675177;3;6,75;202,5;8,25;941,75;0
6;07/02/2024;5,25;93,75;9,3875;0;5,25;4,31;4,842823112;6,25;11,75;185,625;3,5;941,75;0
7;07/02/2024;5,55;92,75;9,575;0;5,55;4,4525;5,071394839;10;14,25;185,625;0;941,725;0
8;07/02/2024;5,675;93,25;9,6575;6,75;5,675;4,655;5,227185355;8;11,25;180;0;941,5;0
9;07/02/2024;6,125;93,5;9,95;67,5;6,125;5,1425;5,684796128;7;10,75;180;0;941,6;0
10;07/02/2024;7,375;91;10,795;142,5;7,375;5,9825;6,733111633;9,75;16,75;191,25;0;941,55;0
11;07/02/2024;8,1;89;11,315;57,75;8,1;6,375;7,291557647;8,25;13,5;213,75;0;941,35;0
12;07/02/2024;9,125;85,5;12,1;158,25;9,125;6,79;8,008319994;9,75;15,5;180;0;941,075;0
13;07/02/2024;10,575;83;13,27;185,25;10,575;7,78;9,192189893;11,5;19;202,5;0;940,375;0
14;07/02/2024;11;84,25;13,635;100,5;11;8,4125;9,700323385;11,25;17;202,5;4,5;939,725;0
15;07/02/2024;11,625;82,25;14,1825;80,25;11,625;8,6675;10,12236732;9,25;14,75;213,75;0;939,15;0
16;07/02/2024;11,875;81,25;14,4075;54;11,875;8,73;10,27150313;7,75;12,75;191,25;1,75;938,9;0
17;07/02/2024;12;80;14,5225;40,5;12;8,62;10,2785464;9;14,75;191,25;0;938,175;0
18;07/02/2024;11,825;80,5;14,3625;9;11,825;8,5425;10,15785479;6,75;12;180;0;937,8;0
19;07/02/2024;11,3;82,5;13,8925;0;11,3;8,395;9,835359804;7,5;12;202,5;0;937,975;0
20;07/02/2024;10,525;85,25;13,23;0;10,525;8,12;9,326334636;6;11;202,5;0;937,975;0
21;07/02/2024;9,475;89;12,37;0;9,475;7,7325;8,620515812;9,25;15,25;180;0;937,65;0
22;07/02/2024;8,95;90,5;11,955;0;8,95;7,4625;8,227972063;9;14,5;191,25;0;937,5;0
23;07/02/2024;9,225;90,25;12,17;0;9,225;7,6925;8,475799261;9,75;15,25;191,25;0;936,825;0
0;08/02/2024;8,725;91;11,7825;0;8,725;7,32;8,046527862;8,25;13,25;213,75;0;936,375;0
1;08/02/2024;8,3;93,25;11,4625;0;8,3;7,26;7,800867533;4;7,25;225;0;936,225;0
2;08/02/2024;8,575;92,75;11,67;0;8,575;7,4525;8,031791776;6,5;10,25;180;0;935,325;0
3;08/02/2024;9,325;90,25;12,25;0;9,325;7,79;8,571585994;6,75;12,25;196,875;0;934,25;0
4;08/02/2024;9,55;89,25;12,43;0;9,55;7,85;8,711155108;8,25;13,25;185,625;0;933,05;0
5;08/02/2024;9,325;88;12,25;0;9,325;7,415;8,395076569;9,5;14,5;180;0;932,525;0
6;08/02/2024;9,375;83,75;12,29;0;9,375;6,7275;8,103884115;8,5;15,75;191,25;0;931,8;0
7;08/02/2024;9,575;81,25;12,45;0;9,575;6,4825;8,094921021;14;21,25;213,75;0;931;0
8;08/02/2024;9,1;79,25;12,07;3;9,1;5,655;7,487840008;15;22,25;180;0;930,725;0
9;08/02/2024;8,975;76,25;11,975;25,5;8,975;4,9725;7,131236425;14,25;20;191,25;0;929,95;0
10;08/02/2024;9,7;66,25;12,55;68,25;9,7;3,62;6,964903019;13,25;20,75;185,625;0;928,95;0
11;08/02/2024;10,875;59;13,5225;136,5;10,875;3,1025;7,37195016;17,25;25;180;0;928,05;0
12;08/02/2024;11,45;55,75;14,025;138;11,45;2,835;7,56788129;18,25;27,75;180;0;927;0
13;08/02/2024;12,075;53,25;14,5925;149,25;12,075;2,765;7,857604101;19,5;29,25;180;0;925,55;0
14;08/02/2024;12,825;52;15,2975;220,5;12,825;3,1275;8,362191764;22,25;32,25;202,5;0;924,3;0
15;08/02/2024;12,1;51;14,62;90;12,1;2,1725;7,656039721;22,5;36;191,25;2,5;922,95;0
16;08/02/2024;10,6;58,75;13,305;51,75;10,6;2,675;7,071713921;33;51,75;191,25;11,25;922,25;0
17;08/02/2024;9,4;75,75;12,3125;34,5;9,4;5,26;7,467530153;27;39,25;191,25;1;921,45;0
18;08/02/2024;9,375;76,75;12,2925;5,25;9,375;5,4425;7,527715748;20,75;30,5;191,25;2,5;920,45;0
19;08/02/2024;9,4;80,25;12,3125;0;9,4;6,1175;7,834865816;20,75;29,75;202,5;5;919,7;0,05
20;08/02/2024;9,625;83,5;12,49;0;9,625;6,93;8,313188317;25;35,75;191,25;4,25;919,35;0
21;08/02/2024;9,85;81,5;12,67;0;9,85;6,7925;8,36256843;21,75;32,5;185,625;4;919,075;0
22;08/02/2024;8,95;87;11,96;0;8,95;6,8725;7,945167974;12,75;20,75;180;4,75;918,575;0
23;08/02/2024;8,65;89;11,725;0;8,65;6,915;7,812629486;9,25;14,25;191,25;6,75;918,025;0
0;09/02/2024;8,7;88,75;11,7625;0;8,7;6,9275;7,842166929;5,5;9,25;168,75;10,75;917,05;0,15
1;09/02/2024;8,3;91,5;11,4625;0;8,3;6,98;7,663296912;6,75;11,25;180;9,5;916,35;0,5
2;09/02/2024;8,3;93;11,46;0;8,3;7,22;7,776380684;9,5;15,25;180;8,5;915,45;0,4
3;09/02/2024;8,375;94,5;11,52;0;8,375;7,535;7,96286109;9,75;14,75;213,75;10,75;914,85;0,15
4;09/02/2024;8,5;94,75;11,61;0;8,5;7,7;8,1047925;11,25;17,5;202,5;9,5;914,125;0,2
5;09/02/2024;8,575;95,75;11,67;0;8,575;7,925;8,254166733;11;16;196,875;11,75;913,45;0,05
6;09/02/2024;9,025;94,25;12,0125;0;9,025;8,135;8,582930005;14,25;20;202,5;0;913,075;0
7;09/02/2024;8,725;95,5;11,7825;0;8,725;8,035;8,383361431;9,5;13;213,75;10,25;913,175;0,05
8;09/02/2024;8,75;96,25;11,8;1,5;8,75;8,18;8,465180252;8,75;12,75;202,5;13,5;913,1;0,05
9;09/02/2024;9,225;95,5;12,17;38,25;9,225;8,535;8,877076134;7;11,5;213,75;3,25;913,125;0
10;09/02/2024;9,7;93,75;12,55;81,75;9,7;8,73;9,206809282;10,25;15;208,125;0,75;912,725;0
11;09/02/2024;10,175;92,75;12,9325;127,5;10,175;9,04;9,592251272;8,75;14,25;213,75;4,75;912,225;0,05
12;09/02/2024;10,3;94;13,0375;108,75;10,3;9,365;9,816042519;6,75;12,5;180;15,25;911,4;0
13;09/02/2024;10,8;91,75;13,46;103,5;10,8;9,4975;10,12039429;3,5;6,5;157,5;13;909,7;0,1
14;09/02/2024;10,4;95;13,125;23,25;10,4;9,62;9,994242928;4,25;8,25;157,5;8;908,525;2,4
15;09/02/2024;9,975;95;12,77;72,75;9,975;9,2025;9,576069821;6;9,25;168,75;7;907,2;1
16;09/02/2024;10,575;95;13,27;62,25;10,575;9,795;10,16702272;5;8,5;135;7;905,7;0,3
17;09/02/2024;10,5;90,25;13,21;18;10,5;8,95;9,702813462;18,25;28,25;202,5;4,75;905,05;0,25
18;09/02/2024;9,6;90;12,47;17,25;9,6;8,0225;8,807665049;18,5;28,5;202,5;1;905,7;0
19;09/02/2024;8,625;91,5;11,7075;0;8,625;7,3;7,975535085;9,75;16;202,5;0;906,5;0
20;09/02/2024;8,35;91,25;11,5;0;8,35;6,99;7,689735588;10,75;18,25;213,75;0;907,125;0
21;09/02/2024;7,775;91,75;11,0825;0;7,775;6,5025;7,166569759;8,75;13,75;202,5;0;907,5;0
22;09/02/2024;7,65;91,5;10,99;0;7,65;6,34;7,026386914;11;17,75;191,25;0;907,9;0
23;09/02/2024;7,275;92,75;10,7225;0;7,275;6,165;6,750611483;10,5;17,25;191,25;10,5;908,325;0
0;10/02/2024;6,9;94;10,4675;0;6,9;5,99;6,47378799;7;12,5;236,25;7,75;908,675;0,15
1;10/02/2024;7,025;90,5;10,5525;0;7,025;5,555;6,345080007;5;9,75;213,75;6;909,65;0
2;10/02/2024;6,975;88,5;10,515;0;6,975;5,18;6,152004214;4,5;10,5;213,75;5,5;910,6;0,05
3;10/02/2024;6,55;89,75;10,23;0;6,55;4,9675;5,830427652;8;13,5;281,25;1;911,5;0
4;10/02/2024;6,05;86,75;9,8975;0;6,05;3,9775;5,137029864;6,5;11,25;225;0;911,975;0
5;10/02/2024;5,15;77,25;9,3275;0;5,15;1,445;3,626277191;6,5;12;264,375;0;912,7;0
6;10/02/2024;4,775;76;9,095;0;4,775;0,85;3,192463462;6,75;12,75;247,5;0;914,05;0
7;10/02/2024;4,025;83,25;8,66;0;4,025;1,39;2,955631579;7,5;11,75;219,375;0;915,425;0
8;10/02/2024;3,275;87,75;8,23;9;3,275;1,4125;2,527460881;7,25;11,25;236,25;0;915,95;0
9;10/02/2024;3,95;87,75;8,615;48;3,95;2,08;3,179724229;8,25;13;213,75;0;916,775;0
10;10/02/2024;5,95;83,5;9,8375;186;5,95;3,33;4,813662308;11,25;17;213,75;0;917,15;0
11;10/02/2024;7,075;79;10,5875;219;7,075;3,6375;5,557244128;16,25;22,75;230,625;0;917,75;0
12;10/02/2024;7,55;75,5;10,92;300,75;7,55;3,4475;5,737923023;12,25;21,5;241,875;0;918,275;0
13;10/02/2024;7,95;74;11,2075;237;7,95;3,55;5,994099891;9,75;16,5;219,375;0;918,575;0
14;10/02/2024;8,2;72,25;11,4075;388,5;8,2;3,4425;6,083639832;11,5;21;213,75;0;918,725;0
15;10/02/2024;9,85;62,25;12,67;318;9,85;2,88;6,744030048;6,5;12,75;225;0;919;0
16;10/02/2024;9,325;55,25;12,2525;77,25;9,325;0,715;5,689234249;7,5;13,5;225;0;919,575;0
17;10/02/2024;7,675;64;11,0075;40,5;7,675;1,2225;4,968839272;4,25;8,5;196,875;0;920,275;0
18;10/02/2024;7,275;64,25;10,725;21;7,275;0,8975;4,634203824;5,75;12,25;258,75;0;921,225;0
19;10/02/2024;5,825;73,25;9,755;0;5,825;1,3375;3,979363412;8,5;14;236,25;0;922,325;0
20;10/02/2024;4,375;79;8,86;0;4,375;1,0075;3,024205499;7;12,5;213,75;0;923,675;0
21;10/02/2024;3,6;81,25;8,4125;0;3,6;0,6475;2,439429423;8,5;13,5;213,75;0;924,875;0
22;10/02/2024;3,05;83,5;8,105;0;3,05;0,495;2,055656876;7,25;12,25;191,25;0;925,15;0
23;10/02/2024;2,125;88;7,615;0;2,125;0,3175;1,43450037;9,25;13,25;180;0;925,775;0
0;11/02/2024;1,925;88,75;7,515;0;1,925;0,2375;1,283123355;8,5;12,75;208,125;0;926,5;0
1;11/02/2024;1,6;90,75;7,35;0;1,6;0,23;1,082204692;8,25;11,75;202,5;0;927,1;0
2;11/02/2024;1,275;91,25;7,1875;0;1,275;-0,015;0,792919551;7;11;196,875;0;927,175;0
3;11/02/2024;1,35;92;7,225;0;1,35;0,175;0,907917661;8;12,25;191,25;0;927,275;0
4;11/02/2024;1,25;93,25;7,175;0;1,25;0,2675;0,878974469;5,5;9;191,25;2,5;927,3;0
5;11/02/2024;0,8;94,25;6,96;0;0,8;-0,0325;0,490792924;1,5;4,25;213,75;8,25;927,625;0
6;11/02/2024;0,95;95;7,03;0;0,95;0,23;0,679543307;2,25;5,5;213,75;9,5;927,825;0
7;11/02/2024;0,9;95,75;7,01;0;0,9;0,2925;0,670793874;2,5;4,25;225;9,75;928;0
8;11/02/2024;1,525;96;7,3125;3;1,525;0,945;1,302941187;3,5;6,25;213,75;2,25;928,625;0
9;11/02/2024;2,4;94,75;7,7575;25,5;2,4;1,6325;2,096106543;4;7,25;202,5;0;928,675;0
10;11/02/2024;3,825;93,25;8,54;72;3,825;2,82;3,40721255;6;10,5;202,5;0;929,125;0
11;11/02/2024;5,275;90,5;9,405;141,75;5,275;3,825;4,648959766;11,75;18,5;202,5;0;929,35;0
12;11/02/2024;6,2;86,75;9,995;174,75;6,2;4,1275;5,288809652;13,25;19,75;202,5;0;929,225;0
13;11/02/2024;6,95;83,25;10,505;180,75;6,95;4,27;5,756448078;11,75;17,25;202,5;0;928,7;0
14;11/02/2024;8,75;75;11,8075;324;8,75;4,51;6,817598222;10,75;17;202,5;0;927,625;0
15;11/02/2024;9,45;71;12,35;276;9,45;4,4;7,138143103;12;21;213,75;0;927;0
16;11/02/2024;9,2;71,25;12,15;141;9,2;4,21;6,930800365;10,5;16,75;213,75;0;926,75;0
17;11/02/2024;8,825;72,75;11,86;69;8,825;4,1425;6,706791759;9,5;15,25;213,75;0;926,4;0
18;11/02/2024;7,925;78,25;11,19;12;7,925;4,325;6,304286851;10;14,75;208,125;0;926,425;0
19;11/02/2024;7,35;83,25;10,7775;0;7,35;4,66;6,136254752;9,75;15;196,875;0;926,675;0
20;11/02/2024;6,625;89,25;10,2825;0;6,625;4,95;5,870992231;11,5;17;191,25;13,75;926,65;0
21;11/02/2024;6,225;94,25;10,015;0;6,225;5,355;5,831739442;11;16,75;191,25;21,75;926,5;0
22;11/02/2024;6,375;94,25;10,1125;0;6,375;5,505;5,979260768;12,75;20;180;12,75;926,35;0
23;11/02/2024;6,425;96;10,1425;0;6,425;5,825;6,149645497;10,75;18;202,5;18,5;926,225;0
0;12/02/2024;6,5;96,75;10,19;0;6,5;6,0125;6,275759875;10,5;15,25;208,125;15,25;926,3;0,05
1;12/02/2024;6,85;96;10,4325;0;6,85;6,2475;6,569541151;10,5;16;191,25;3,75;925,55;0
2;12/02/2024;7,125;95,5;10,6175;0;7,125;6,445;6,806228973;10,75;16,25;202,5;6,75;925,6;0
3;12/02/2024;7,5;96,5;10,8825;0;7,5;6,9725;7,248343459;11,5;17;202,5;6,25;925,65;0
4;12/02/2024;8,375;94,25;11,52;0;8,375;7,495;7,946585728;10,75;16,5;202,5;0,75;925,725;0
5;12/02/2024;8,4;92,5;11,5375;0;8,4;7,24;7,839884397;13,25;20,5;191,25;0;926,125;0
6;12/02/2024;8,6;92,75;11,6875;0;8,6;7,48;8,054599774;10;16,75;191,25;0,25;926,5;0
7;12/02/2024;9,1;91,75;12,0725;0;9,1;7,8125;8,466432473;13,75;20,75;191,25;0,75;926,65;0
8;12/02/2024;9,2;91,25;12,15;6,75;9,2;7,83;8,525926332;11,25;18;219,375;0;927,675;0
9;12/02/2024;9,875;87,75;12,695;31,5;9,875;7,915;8,90159201;12;20,5;213,75;0;928,6;0
10;12/02/2024;11,5;81,5;14,075;111;11,5;8,4025;9,927949822;12;19,75;202,5;0;929,925;0
11;12/02/2024;12,875;73,5;15,35;402,75;12,875;8,2;10,48926359;11,25;19,5;208,125;0;931,4;0
12;12/02/2024;14,25;63;16,72;487,5;14,25;7,24;10,70817685;6,5;14,5;247,5;0;932,45;0
13;12/02/2024;14,95;62;17,4675;498;14,95;7,665;11,21636657;6;15,75;247,5;0;932,8;0
14;12/02/2024;15,4;58,75;17,9575;486;15,4;7,3;11,2649952;5,5;12;146,25;0;933,05;0
15;12/02/2024;15,825;54,5;18,4325;315,75;15,825;6,5925;11,16679037;6;13,5;236,25;0;933,3;0
16;12/02/2024;15,7;56,25;18,2925;67,5;15,7;6,9325;11,25173642;7,5;13,25;208,125;0;933,675;0
17;12/02/2024;14,625;60,75;17,1175;44,25;14,625;7,065;10,80733286;8,25;14;219,375;0;934,275;0
18;12/02/2024;12,75;67,75;15,2325;15,75;12,75;6,8675;9,837494569;4,5;7,25;213,75;0;934,875;0
19;12/02/2024;9,95;79,75;12,7675;0;9,95;6,555;8,318016511;0,5;2;67,5;0;935,425;0
20;12/02/2024;8,6;85;11,6925;0;8,6;6,1875;7,46543623;0,25;1,75;168,75;0;936,275;0
21;12/02/2024;7,625;89,5;10,97;0;7,625;5,99;6,865847667;0,75;2,75;67,5;0;936,5;0
22;12/02/2024;7,75;90,75;11,0625;0;7,75;6,315;7,079225816;0,75;2,75;258,75;0;937,275;0
23;12/02/2024;8,175;88,5;11,37;0;8,175;6,3675;7,324293249;3;4,75;196,875;0;937,75;0
0;13/02/2024;7,575;91,5;10,9375;0;7,575;6,26;6,961897199;1,5;3,5;123,75;0;937,825;0
1;13/02/2024;8,2;92,5;11,39;0;8,2;7,04;7,647943278;3;5,25;213,75;0;938,1;0
2;13/02/2024;8,025;94,25;11,2625;0;8,025;7,145;7,605149332;3;5,5;225;0,75;938;0
3;13/02/2024;6,8;95,25;10,41;0;6,8;6,0825;6,469039076;1,5;3,25;202,5;3;938,1;0
4;13/02/2024;5,95;96,75;9,8425;0;5,95;5,4675;5,732640891;1,5;3,75;123,75;3;938,1;0
5;13/02/2024;5,575;98;9,5925;0;5,575;5,2775;5,443222778;0,75;2,75;180;4;938,35;0
6;13/02/2024;5,575;98;9,5925;0;5,575;5,28;5,443268056;1;2,5;180;4;938,95;0
7;13/02/2024;5,85;98,25;9,7725;0;5,85;5,59;5,733954076;1,25;2,75;180;4;939,15;0
8;13/02/2024;6,45;98,5;10,16;12;6,45;6,225;6,347581792;0,5;2,75;236,25;4,5;939,55;0
9;13/02/2024;7,575;99;10,945;64,5;7,575;7,425;7,5037094;0,25;1,25;101,25;7,5;940,1;0
10;13/02/2024;9,45;97,25;12,35;76,5;9,45;9,03;9,238620497;3,25;6,5;202,5;20;940,7;0,2
11;13/02/2024;10,15;96;12,915;130,5;10,15;9,5325;9,834861069;1;2,5;112,5;14,5;941;0,05
12;13/02/2024;11,15;96,5;13,7675;183,75;11,15;10,61;10,8643288;5,5;10;191,25;18,5;941,225;0
13;13/02/2024;13,025;91;15,495;254,25;13,025;11,5725;12,23312532;9,5;15,75;202,5;0,25;941,025;0
14;13/02/2024;14,3;87,25;16,7775;348,75;14,3;12,1875;13,12638669;10,75;18,25;208,125;0;940,65;0
15;13/02/2024;16,05;80;18,705;137,25;16,05;12,5575;14,07250228;9,25;15,75;213,75;0;940,275;0
16;13/02/2024;15,95;76,5;18,5825;58,5;15,95;11,7825;13,62636928;6;10,25;241,875;0;940,4;0
17;13/02/2024;16,225;74,25;18,895;42;16,225;11,5975;13,65117524;6;11;230,625;0;940,575;0
18;13/02/2024;14,975;76,75;17,505;9,75;14,975;10,88;12,74503113;4,75;8,75;191,25;0;940,875;0
19;13/02/2024;12,35;87;14,87;0;12,35;10,2125;11,22084936;0,5;2,5;258,75;0,5;941,55;0
20;13/02/2024;10,325;92,75;13,0625;0;10,325;9,1875;9,747223014;2,25;3,75;202,5;0,75;941,9;0
21;13/02/2024;9,15;94;12,1225;0;9,15;8,2225;8,691635544;0,75;2,75;157,5;1,75;942,175;0
22;13/02/2024;8,175;96,75;11,3725;0;8,175;7,685;7,937800216;0,75;2,5;90;2,25;942,5;0
23;13/02/2024;8,775;98;11,8225;0;8,775;8,475;8,625738388;1;2,75;185,625;3,75;942,7;0
0;14/02/2024;8,425;98,25;11,5575;0;8,425;8,1625;8,296279026;0,5;2,25;225;8,25;942,9;0
1;14/02/2024;8,65;99;11,7275;0;8,65;8,5;8,575816818;0,25;1,25;180;21;943,025;0
2;14/02/2024;8,3;99;11,4625;0;8,3;8,15;8,226795933;1,5;3,25;146,25;28;942,925;0
3;14/02/2024;8,6;99;11,6875;0;8,6;8,45;8,525942199;1;2;22,5;23,25;942,625;0
4;14/02/2024;9,025;99;12,015;0;9,025;8,875;8,949731485;0,5;1,75;135;19,75;942,25;0
5;14/02/2024;8,9;99;11,915;0;8,9;8,75;8,8250856;3;5,75;202,5;18;942,3;0
6;14/02/2024;8,65;99;11,725;0;8,65;8,5;8,575799762;0,5;1,5;123,75;17,75;942,575;0
7;14/02/2024;9,15;100;12,1125;0;9,15;9,15;9,15;2;4,75;101,25;14,5;942,4;0
8;14/02/2024;8,85;100;11,8775;9;8,85;8,85;8,85;3,5;6;78,75;12,75;942,175;0
9;14/02/2024;8,9;100;11,915;62,25;8,9;8,9;8,9;1,25;2,25;135;8,5;942,6;0
10;14/02/2024;9,65;100;12,51;106,5;9,65;9,65;9,65;2;4;67,5;0,25;942,5;0,05
11;14/02/2024;10,625;100;13,3125;156;10,625;10,625;10,625;3,5;6;11,25;0;942,1;0
12;14/02/2024;12,675;95;15,1725;267,75;12,675;11,875;12,23568333;10;13,5;45;0;941,625;0
13;14/02/2024;15,1;85,25;17,63;306;15,1;12,6175;13,70280298;6;9,5;67,5;0;940,8;0
14;14/02/2024;16,05;82,5;18,6875;232,5;16,05;13,04;14,3331619;6;10,5;45;0;939,8;0
15;14/02/2024;17,275;75,25;20,1475;219,75;17,275;12,815;14,71959831;6,5;10;118,125;0;938,85;0
16;14/02/2024;17,25;76,5;20,1125;130,5;17,25;13,05;14,83287254;6;10;90;0;938,35;0
17;14/02/2024;16,575;78,25;19,3;62,25;16,575;12,7425;14,39030883;4;7;56,25;0;937,95;0
18;14/02/2024;15,6;82,75;18,1875;21,75;15,6;12,6475;13,92715724;3;4,5;50,625;0;937,825;0
19;14/02/2024;14,25;87;16,7275;0;14,25;12,095;13,05271299;2;3,5;101,25;0;937,95;0
20;14/02/2024;12,35;91,25;14,855;0;12,35;10,945;11,59636806;0,5;2,5;213,75;0,5;937,95;0
21;14/02/2024;10,2;95;12,96;0;10,2;9,425;9,80424949;0,25;1,5;213,75;1,75;937,9;0
22;14/02/2024;8,9;96,5;11,9175;0;8,9;8,365;8,636401151;0,75;2,75;219,375;2,75;937,725;0
23;14/02/2024;8,475;97;11,595;0;8,475;8,02;8,252793994;0,25;1,75;168,75;4;937,625;0
0;15/02/2024;7,275;97;10,7275;0;7,275;6,825;7,062877799;1;2,25;157,5;4;937,3;0
