hour;date;Contenido volumetrico (10 cm);Contenido volumetrico (20 cm);Contenido volumetrico (40 cm);Contenido volumetrico (60 cm);Agua util;Temperatura en suelo (10 cm);Temperatura en suelo (20 cm);Temperatura en suelo (40 cm);Temperatura en suelo (60 cm)
20;06/02/2024;19,45;25,675;30,3;32,8;59,0770245;9,875;9,6;9,35;9,5
21;06/02/2024;19,425;25,6;30,3;32,8;58,9925745;9,4;9,55;9,4;9,5
22;06/02/2024;19,4;25,6;30,3;32,8;59,0114745;9;9,375;9,45;9,5
23;06/02/2024;19,375;25,6;30,3;32,8;59,0114745;8,65;9,25;9,5;9,5
0;07/02/2024;19,3;25,6;30,3;32,8;59,0209245;8,325;9,075;9,6;9,5
1;07/02/2024;19,3;25,6;30,3;32,8;59,0398245;8,025;8,875;9,6;9,6
2;07/02/2024;19,3;25,6;30,3;32,8;59,0492745;7,8;8,725;9,6;9,6
3;07/02/2024;19,3;25,6;30,3;32,825;59,0992745;7,6;8,55;9,6;9,6
4;07/02/2024;19,3;25,6;30,3;32,9;59,2681745;7,35;8,375;9,525;9,6
5;07/02/2024;19,3;25,5;30,3;32,9;59,1587245;7,225;8,225;9,5;9,6
6;07/02/2024;19,3;25,5;30,3;32,875;59,1087245;7,325;8,1;9,4;9,6
7;07/02/2024;19,3;25,5;30,3;32,8;58,9681745;7,425;8;9,4;9,6
8;07/02/2024;19,3;25,5;30,3;32,8;58,9776245;7,575;8;9,375;9,6
9;07/02/2024;19,3;25,5;30,3;32,8;58,9492745;7,65;7,9;9,3;9,6
10;07/02/2024;19,26666667;25,5;30,3;32,8;58,9492745;7,866666667;7,933333333;9,3;9,6
11;07/02/2024;19,3;25,5;30,3;32,8;58,9209245;8,225;8,05;9,25;9,6
12;07/02/2024;19,3;25,5;30,3;32,8;58,9303745;8,475;8,125;9,2;9,6
13;07/02/2024;19,3;25,5;30,3;32,8;58,9114745;8,875;8,25;9,15;9,6
14;07/02/2024;19,3;25,5;30,3;32,8;58,8831245;9,35;8,4;9,1;9,6
15;07/02/2024;19,325;25,5;30,3;32,8;58,8736745;9,6;8,625;9,1;9,6
16;07/02/2024;19,325;25,5;30,3;32,8;58,8736745;9,775;8,775;9,1;9,6
17;07/02/2024;19,4;25,525;30,3;32,8;58,8797745;9,9;8,9;9,175;9,55
18;07/02/2024;19,375;25,5;30,3;32,8;58,8547745;9,9;9,05;9,2;9,5
19;07/02/2024;19,3;25,5;30,3;32,8;58,8453245;9,9;9,125;9,275;9,5
20;07/02/2024;19,3;25,55;30,3;32,8;58,9047745;9,9;9,225;9,3;9,5
21;07/02/2024;19,3;25,525;30,3;32,8;58,8703245;9,8;9,3;9,3;9,5
22;07/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,625;9,3;9,35;9,5
23;07/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,525;9,3;9,4;9,5
0;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,475;9,3;9,4;9,5
1;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,4;9,2;9,4;9,5
2;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,4;9,2;9,475;9,5
3;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,4;9,2;9,5;9,575
4;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,4;9,2;9,5;9,6
5;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,4;9,2;9,5;9,6
6;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,4;9,2;9,575;9,6
7;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,4;9,2;9,6;9,6
8;08/02/2024;19,3;25,5;30,3;32,8;58,8358745;9,3;9,2;9,6;9,6
9;08/02/2024;19,275;25,5;30,3;32,8;58,8358745;9,3;9,125;9,6;9,6
10;08/02/2024;19,275;25,5;30,3;32,8;58,8358745;9,3;9,1;9,6;9,6
11;08/02/2024;19,225;25,5;30,3;32,8;58,8358745;9,35;9,1;9,6;9,6
12;08/02/2024;19,3;25,5;30,3;32,8;58,8264245;9,575;9,175;9,6;9,6
13;08/02/2024;19,3;25,5;30,3;32,8;58,8264245;9,8;9,25;9,6;9,6
14;08/02/2024;19,3;25,5;30,3;32,8;58,8169745;10,025;9,325;9,6;9,6
15;08/02/2024;19,3;25,5;30,3;32,8;58,7980745;10,275;9,425;9,6;9,6
16;08/02/2024;19,225;25,5;30,3;32,8;58,7980745;10,225;9,55;9,6;9,6
17;08/02/2024;19,2;25,5;30,3;32,8;58,7980745;9,975;9,6;9,6;9,6
18;08/02/2024;19,2;25,5;30,3;32,8;58,7980745;9,85;9,6;9,7;9,6
19;08/02/2024;19,2;25,5;30,3;32,8;58,7980745;9,8;9,6;9,7;9,625
20;08/02/2024;19,2;25,5;30,3;32,8;58,7980745;9,8;9,55;9,75;9,7
21;08/02/2024;19,2;25,5;30,3;32,8;58,7980745;9,8;9,5;9,8;9,7
22;08/02/2024;19,2;25,5;30,3;32,8;58,7980745;9,8;9,5;9,8;9,7
23;08/02/2024;19,2;25,5;30,3;32,8;58,7886245;9,75;9,5;9,8;9,7
0;09/02/2024;19,2;25,45;30,3;32,8;58,7386245;9,7;9,5;9,8;9,7
1;09/02/2024;19,2;25,4;30,3;32,9;58,8980745;9,7;9,5;9,8;9,7
2;09/02/2024;19,3;25,4;30,3;32,9;58,8980745;9,65;9,5;9,8;9,7
3;09/02/2024;20,3;25,5;30,3;32,9;58,9980745;9,6;9,425;9,8;9,8
4;09/02/2024;21,125;25,9;30,3;32,9;59,3980745;9,675;9,4;9,8;9,8
5;09/02/2024;21,325;26,3;30,4;32,9;59,9480745;9,7;9,4;9,8;9,8
6;09/02/2024;21,4;26,525;30,475;32,9;60,2477745;9,775;9,425;9,8;9,8
7;09/02/2024;21,4;26,6;30,5;32,85;60,2602745;9,8;9,5;9,8;9,8
8;09/02/2024;21,4;26,7;30,575;32,9;60,5916745;9,8;9,5;9,8;9,8
9;09/02/2024;21,4;26,7;30,6;32,9;60,6386245;9,8;9,5;9,8;9,8
10;09/02/2024;21,4;26,775;30,6;32,8;60,5230745;9,9;9,5;9,8;9,8
11;09/02/2024;21,4;26,8;30,6;32,825;60,5791745;10,175;9,575;9,8;9,8
12;09/02/2024;21,4;26,8;30,6;32,875;60,6980745;10,4;9,625;9,85;9,8
13;09/02/2024;21,4;26,8;30,6;32,85;60,6480745;10,675;9,775;9,9;9,8
14;09/02/2024;22,375;28,65;30,9;32,825;63,43950645;10,925;9,875;9,9;9,8
15;09/02/2024;22,775;29,925;32,075;33,275;69,0902471;11,1;10,1;9,9;9,8
16;09/02/2024;22,6;29,4;32,125;33,55;69,3308771;11,275;10,3;9,9;9,8
17;09/02/2024;22,625;29,425;32,1;33,525;69,2933771;11,4;10,4;9,975;9,8
18;09/02/2024;22,475;28,975;32,025;33,55;68,6308771;11,225;10,5;10,05;9,8
19;09/02/2024;22,275;28,6;31,925;33,5;67,8058771;11;10,475;10,1;9,8
20;09/02/2024;22,2;28,375;31,825;33,4;67,1558771;10,725;10,4;10,1;9,8
21;09/02/2024;22,1;28,25;31,725;33,4;66,8020345;10,525;10,375;10,175;9,8
22;09/02/2024;22,025;28,175;31,625;33,375;66,5270345;10,35;10,3;10,2;9,9
23;09/02/2024;22;28,1;31,6;33,35;66,3380745;10,25;10,225;10,25;9,9
0;10/02/2024;22;28,025;31,5;33,4;66,1847245;10,1;10,1;10,3;9,9
1;10/02/2024;22,1;28;31,5;33,35;66,0502745;10;10,1;10,3;9,9
9;11/02/2024;21,5;27,3;31;33,1;63,7222745;6,366666667;7,333333333;9,3;9,8
10;11/02/2024;21,5;27,3;30,925;33,1;63,5719745;6,45;7,3;9,25;9,8
11;11/02/2024;21,5;27,3;30,975;33,1;63,6469745;6,75;7,3;9,125;9,8
12;11/02/2024;21,475;27,3;30,9;33,1;63,5344745;7,125;7,3;9,1;9,8
13;11/02/2024;21,425;27,3;30,9;33,1;63,5061245;7,475;7,35;9;9,8
14;11/02/2024;21,475;27,3;30,9;33,1;63,4966745;7,875;7,45;8,9;9,725
15;11/02/2024;21,5;27,3;30,9;33,1;63,4777745;8,45;7,65;8,9;9,7
16;11/02/2024;21,5;27,3;30,9;33,1;63,4494245;8,85;7,85;8,9;9,625
17;11/02/2024;21,5;27,3;30,9;33,05;63,3210745;9;8,075;8,9;9,6
18;11/02/2024;21,4;27,3;30,9;33,075;63,3521745;9;8,25;8,9;9,6
19;11/02/2024;21,4;27,3;30,9;33,1;63,3927245;8,85;8,325;8,9;9,6
20;11/02/2024;21,4;27,3;30,9;33,1;63,3927245;8,725;8,4;8,9;9,575
21;11/02/2024;21,4;27,2;30,9;33,075;63,2332745;8,6;8,4;8,9;9,5
22;11/02/2024;21,4;27,2;30,9;33,025;63,1332745;8,6;8,4;8,9;9,5
23;11/02/2024;21,4;27,2;30,9;33,075;63,2143745;8,5;8,4;9;9,5
0;12/02/2024;21,375;27,2;30,9;33,1;63,2549245;8,5;8,4;9;9,475
1;12/02/2024;21,4;27,2;30,9;33,1;63,2643745;8,5;8,4;9;9,4
2;12/02/2024;21,4;27,2;30,9;33,1;63,2549245;8,5;8,4;9,075;9,4
3;12/02/2024;21,4;27,2;30,9;33,1;63,2454745;8,6;8,4;9,1;9,4
4;12/02/2024;21,4;27,2;30,9;33,1;63,2454745;8,6;8,4;9,1;9,4
5;12/02/2024;21,4;27,2;30,8;33,1;63,0860245;8,7;8,4;9,1;9,4
6;12/02/2024;21,4;27,2;30,8;33,1;63,0765745;8,7;8,45;9,1;9,4
7;12/02/2024;21,4;27,125;30,8;33,075;62,9326745;8,8;8,5;9,1;9,4
8;12/02/2024;21,4;27,1;30,8;33;62,7576745;8,875;8,525;9,1;9,4
9;12/02/2024;21,4;27,1;30,8;33;62,7576745;8,9;8,6;9,1;9,4
10;12/02/2024;21,4;27,1;30,8;33;62,7387745;9,05;8,6;9,1;9,4
11;12/02/2024;21,4;27,1;30,8;33;62,7293245;9,525;8,7;9,1;9,4
12;12/02/2024;21,4;27,1;30,8;33;62,7104245;10,175;8,875;9,1;9,4
13;12/02/2024;21,4;27,1;30,8;33;62,6915245;10,85;9,175;9,175;9,4
14;12/02/2024;21,4;27,175;30,8;33;62,7570745;11,35;9,45;9,2;9,4
15;12/02/2024;21,4;27,2;30,8;33;62,7537245;11,75;9,75;9,3;9,4
16;12/02/2024;21,4;27,2;30,8;33;62,7348245;12,05;10,025;9,3;9,4
17;12/02/2024;21,4;27,2;30,8;33;62,7159245;12,275;10,3;9,4;9,4
18;12/02/2024;21,4;27,2;30,8;33;62,7064745;12;10,45;9,45;9,4
19;12/02/2024;21,4;27,2;30,8;33;62,7064745;11,525;10,575;9,575;9,4
20;12/02/2024;21,3;27,2;30,8;33;62,7064745;11,05;10,525;9,65;9,475
21;12/02/2024;21,3;27,1;30,8;33;62,6064745;10,725;10,4;9,8;9,5
22;12/02/2024;21,3;27,1;30,8;33;62,6064745;10,5;10,325;9,825;9,5
23;12/02/2024;21,3;27,1;30,8;33;62,6064745;10,35;10,275;9,9;9,6
0;13/02/2024;21,25;27,1;30,8;33;62,6064745;10,2;10,125;9,9;9,6
1;13/02/2024;21,26666667;27,1;30,8;33;62,6064745;10,03333333;10,06666667;9,966666667;9,6
2;13/02/2024;21,2;27,1;30,8;33;62,6064745;9,85;9,95;10;9,6
3;13/02/2024;21,225;27,1;30,8;33;62,6064745;9,675;9,875;10,025;9,6
4;13/02/2024;21,2;27,075;30,8;33;62,5814745;9,4;9,8;10,1;9,7
5;13/02/2024;21,2;27;30,8;33;62,5253745;9,25;9,65;10,1;9,7
6;13/02/2024;21,2;27;30,8;33;62,5253745;9,15;9,55;10,1;9,775
7;13/02/2024;21,2;27;30,8;33;62,5253745;9,1;9,425;10;9,8
8;13/02/2024;21,175;27;30,8;33,05;62,6159245;9;9,375;10;9,8
9;13/02/2024;21,125;27;30,8;33,05;62,6253745;9,025;9,3;10;9,8
10;13/02/2024;21,1;27;30,8;33,1;62,7253745;9,325;9,3;9,925;9,8
11;13/02/2024;21,15;27;30,8;33,1;62,7064745;9,725;9,3;9,9;9,8
12;13/02/2024;21,2;27;30,8;33,1;62,6875745;10,2;9,375;9,9;9,8
13;13/02/2024;21,3;27;30,7;33,05;62,4186745;10,75;9,55;9,9;9,8
14;13/02/2024;21,375;27;30,7;33;62,3092245;11,45;9,8;9,9;9,8
15;13/02/2024;21,4;27;30,7;33;62,2714245;12,025;10,075;9,9;9,8
16;13/02/2024;21,4;27;30,7;33;62,2525245;12,525;10,4;9,9;9,8
17;13/02/2024;21,4;27;30,7;33;62,2430745;12,6;10,675;9,95;9,8
18;13/02/2024;21,4;27;30,7;33;62,2241745;12,525;10,875;10,05;9,85
19;13/02/2024;21,4;27;30,7;33;62,2147245;12,175;10,975;10,1;9,9
20;13/02/2024;21,4;27;30,7;33;62,2052745;11,7;11;10,175;9,9
21;13/02/2024;21,375;27;30,7;33;62,2241745;11,275;10,925;10,3;9,9
22;13/02/2024;21,3;27;30,7;33;62,2147245;10,925;10,85;10,3;9,9
23;13/02/2024;21,3;27;30,7;33;62,2430745;10,6;10,75;10,4;9,9
0;14/02/2024;21,3;27;30,7;33;62,2430745;10,4;10,6;10,4;9,9
1;14/02/2024;21,3;27;30,7;33,075;62,3930745;10,4;10,45;10,4;9,9
2;14/02/2024;21,3;26,95;30,75;33,1;62,4680745;10,4;10,4;10,5;9,95
3;14/02/2024;21,25;26,9;30,75;33,1;62,4180745;10,475;10,4;10,5;10
4;14/02/2024;21,2;26,9;30,725;33,1;62,3805745;10,5;10,35;10,5;10
5;14/02/2024;21,2;26,9;30,7;33,1;62,3430745;10,525;10,3;10,5;10,1
6;14/02/2024;21,2;26,9;30,7;33,1;62,3430745;10,6;10,3;10,5;10,1
7;14/02/2024;21,2;26,9;30,7;33,1;62,3430745;10,6;10,3;10,5;10,1
8;14/02/2024;21,2;26,9;30,7;33,1;62,3430745;10,6;10,3;10,5;10,1
9;14/02/2024;21,2;26,9;30,7;33,1;62,3430745;10,6;10,3;10,5;10,1
10;14/02/2024;21,225;26,9;30,7;33,1;62,3241745;10,825;10,325;10,5;10,1
11;14/02/2024;21,225;26,9;30,7;33,05;62,2147245;11,125;10,4;10,5;10,1
12;14/02/2024;21,275;26,9;30,7;33;62,1052745;11,525;10,5;10,5;10,125
13;14/02/2024;21,3;26,9;30,7;33;62,0863745;12,2;10,675;10,5;10,2
14;14/02/2024;21,35;26,925;30,7;33;62,0924745;12,95;10,925;10,525;10,2
15;14/02/2024;21,3;27;30,7;33;62,1580245;13,4;11,225;10,6;10,2
16;14/02/2024;21,3;27;30,7;33;62,1391245;13,725;11,525;10,6;10,2
17;14/02/2024;21,3;27;30,7;33;62,1296745;13,8;11,775;10,65;10,2
18;14/02/2024;21,3;27;30,7;33;62,1013245;13,625;11,925;10,775;10,225
19;14/02/2024;21,3;27;30,7;33;62,1107745;13,35;12,05;10,8;10,3
20;14/02/2024;21,25;27;30,7;33;62,1202245;12,975;12,1;10,9;10,3
21;14/02/2024;21,2;26,975;30,7;33;62,1046745;12,575;12,025;10,95;10,3
22;14/02/2024;21,2;26,9;30,7;33;62,0107745;12,15;11,9;11,075;10,3
23;14/02/2024;21,175;26,9;30,7;33;62,0296745;11,8;11,8;11,1;10,3
0;15/02/2024;21,1;26,9;30,7;33;62,0296745;11,475;11,625;11,15;10,35
1;15/02/2024;21,1;26,9;30,7;33;62,0296745;11,3;11,475;11,2;10,4
2;15/02/2024;21,1;26,9;30,7;33;62,0391245;11,15;11,35;11,275;10,4
3;15/02/2024;21,1;26,9;30,7;33;62,0674745;10,975;11,25;11,3;10,4
4;15/02/2024;21,1;26,9;30,7;33;62,0674745;10,825;11,125;11,3;10,45
5;15/02/2024;21,1;26,85;30,7;33;62,0174745;10,725;11;11,25;10,5
6;15/02/2024;21;26,8;30,7;33;61,9580245;10,6;10,9;11,2;10,5
7;15/02/2024;21,025;26,8;30,7;33;61,9580245;10,6;10,8;11,2;10,6
8;15/02/2024;21,025;26,8;30,7;33;61,9674745;10,525;10,775;11,175;10,6
9;15/02/2024;21;26,8;30,7;33;61,9485745;10,5;10,675;11,1;10,6
10;15/02/2024;21,025;26,8;30,7;33;61,9485745;10,6;10,6;11,1;10,6
11;15/02/2024;21,05;26,8;30,7;33;61,9391245;11,025;10,6;11,1;10,6
12;15/02/2024;21,1;26,8;30,7;33;61,9391245;11,675;10,75;11,1;10,6
13;15/02/2024;21,1;26,8;30,7;33;61,9296745;12,35;10,9;11,05;10,6
14;15/02/2024;21,1;26,8;30,7;33;61,8918745;12,825;11,175;11;10,6
15;15/02/2024;21,1;26,8;30,7;33;61,8918745;12,925;11,4;11;10,6
16;15/02/2024;21,175;26,875;30,7;33,025;62,0168745;12,925;11,6;11,1;10,6
17;15/02/2024;22,3;27,675;30,775;33,05;63,39030645;12,8;11,75;11,1;10,6
18;15/02/2024;22,4;28,325;31,125;33,025;64,9218671;12,625;11,8;11,1;10,6
19;15/02/2024;22,375;28,5;31,35;33,1;65,6916671;12,425;11,8;11,2;10,6
20;15/02/2024;22,3;28,375;31,4;33,1;65,5855671;12,325;11,8;11,3;10,6
21;15/02/2024;22,25;28,3;31,4;33,1;65,5267171;12,225;11,8;11,3;10,7
22;15/02/2024;22,475;28,625;31,45;33,1;66,3974171;12,075;11,725;11,3;10,7
23;15/02/2024;22,45;28,75;31,6;33,1;66,8433771;11,925;11,675;11,375;10,7
0;16/02/2024;22,325;28,55;31,6;33,1;66,5183771;11,75;11,6;11,4;10,7
1;16/02/2024;22,3;28,4;31,6;33,175;66,4867621;11,575;11,55;11,4;10,8
2;16/02/2024;22,25;28,275;31,525;33,2;66,2265821;11,375;11,425;11,4;10,8
3;16/02/2024;22,2;28,2;31,5;33,2;66,0385671;11,1;11,35;11,4;10,8
4;16/02/2024;22,2;28,125;31,5;33,2;65,9446671;10,9;11,25;11,4;10,8
5;16/02/2024;22,225;28,1;31,425;33,2;65,8038171;10,775;11,1;11,4;10,8
6;16/02/2024;22,125;28;31,4;33,2;65,54438515;10,45;11;11,4;10,8
7;16/02/2024;22,1;28;31,4;33,2;65,5341245;10,15;10,85;11,4;10,8
8;16/02/2024;22,1;27,9;31,4;33,2;65,4246745;9,85;10,675;11,325;10,8
9;16/02/2024;22,075;27,9;31,4;33,2;65,3868745;9,7;10,5;11,3;10,8
10;16/02/2024;22,075;27,9;31,3;33,2;65,2368745;9,9;10,35;11,3;10,875
11;16/02/2024;22,1;27,875;31,3;33,175;65,1335245;10,5;10,325;11,225;10,9
12;16/02/2024;22,1;27,825;31,3;33,175;65,0740745;11,475;10,475;11,15;10,9
13;16/02/2024;22,125;27,85;31,3;33,125;64,99043515;12,325;10,775;11,1;10,9
14;16/02/2024;22,125;27,9;31,275;33,1;64,91513515;12,925;11,075;11,1;10,9
15;16/02/2024;22,1;27,9;31,225;33,1;64,8109745;13,45;11,4;11,1;10,85
16;16/02/2024;22,1;27,9;31,2;33,1;64,7262245;13,9;11,725;11,1;10,8
17;16/02/2024;22,1;27,9;31,2;33,1;64,6978745;14,125;12,025;11,125;10,8
18;16/02/2024;22,05;27,875;31,2;33,1;64,6350745;13,95;12,25;11,225;10,8
19;16/02/2024;22;27,8;31,2;33,1;64,5411745;13,325;12,3;11,3;10,8
20;16/02/2024;22;27,8;31,2;33,1;64,5222745;12,675;12,275;11,35;10,8
21;16/02/2024;21,9;27,8;31,2;33,1;64,5128245;12,125;12,125;11,4;10,8
22;16/02/2024;21,9;27,725;31,2;33,1;64,4283745;11,725;11,95;11,475;10,85
23;16/02/2024;21,9;27,7;31,2;33,1;64,3939245;11,3;11,775;11,55;10,9
0;17/02/2024;21,85;27,7;31,2;33,1;64,3844745;10,95;11,575;11,6;10,9
1;17/02/2024;21,8;27,675;31,2;33,1;64,3594745;10,6;11,35;11,6;10,9
2;17/02/2024;21,8;27,6;31,2;33,1;64,2844745;10,25;11,175;11,6;10,9
3;17/02/2024;21,775;27,6;31,2;33,15;64,3844745;9,95;10,95;11,6;10,9
4;17/02/2024;21,75;27,6;31,2;33,2;64,4844745;9,675;10,775;11,525;10,9
5;17/02/2024;21,725;27,5;31,175;33,2;64,3469745;9,35;10,525;11,475;10,9
6;17/02/2024;21,7;27,5;31,1;33,2;64,2344745;9,1;10,35;11,4;10,975
7;17/02/2024;21,7;27,5;31,1;33,2;64,2344745;8,85;10,125;11,4;11
8;17/02/2024;21,7;27,475;31,1;33,2;64,2189245;8,6;9,9;11,3;11
9;17/02/2024;21,6;27,45;31,1;33,2;64,1844745;8,4;9,725;11,275;11
10;17/02/2024;21,625;27,4;31,1;33,175;64,0844745;8,65;9,575;11,15;11
11;17/02/2024;21,7;27,4;31,1;33,1;63,9250245;9,25;9,5;11,1;11
12;17/02/2024;21,7;27,4;31,075;33,1;63,8591745;10,275;9,625;10,975;10,975
13;17/02/2024;21,7;27,425;31,025;33,1;63,7808245;11,4;9,925;10,9;10,9
14;17/02/2024;21,775;27,475;31;33,1;63,7744245;12,225;10,3;10,875;10,9
15;17/02/2024;21,8;27,5;31;33,1;63,7710745;12,6;10,675;10,8;10,9
16;17/02/2024;21,8;27,5;31;33,1;63,7521745;13,05;10,975;10,8;10,9
17;17/02/2024;21,775;27,5;31;33,1;63,7143745;13,3;11,3;10,875;10,9
18;17/02/2024;21,7;27,5;31;33,1;63,7049245;13;11,475;10,9;10,9
19;17/02/2024;21,7;27,5;31;33,1;63,6860245;12,45;11,6;10,925;10,9
20;17/02/2024;21,675;27,45;31;33,1;63,6076745;11,825;11,525;11,025;10,85
21;17/02/2024;21,6;27,4;31;33,1;63,5860245;11,325;11,375;11,1;10,8
22;17/02/2024;21,6;27,4;31;33,1;63,5860245;10,9;11,25;11,1;10,8
23;17/02/2024;21,6;27,4;31;33,1;63,5954745;10,5;11,075;11,175;10,8
0;18/02/2024;21,55;27,4;31;33,1;63,5954745;10,2;10,875;11,2;10,8
1;18/02/2024;21,5;27,325;31;33,1;63,5204745;9,875;10,725;11,2;10,9
2;18/02/2024;21,525;27,3;31;33,1;63,4954745;9,55;10,525;11,2;10,9
3;18/02/2024;21,5;27,3;31;33,1;63,5238245;9,275;10,325;11,2;10,9
4;18/02/2024;21,5;27,3;31;33,1;63,5143745;8,975;10,125;11,125;10,9
5;18/02/2024;21,475;27,3;31;33,1;63,4954745;8,8;9,925;11,1;10,9
6;18/02/2024;21,475;27,25;31;33,1;63,4738245;8,575;9,775;11,1;10,9
7;18/02/2024;21,4;27,2;30,9;33,1;63,2643745;8,375;9,575;11;10,9
8;18/02/2024;21,4;27,2;30,9;33,1;63,2738245;8,175;9,375;10,9;10,9
9;18/02/2024;21,4;27,2;30,9;33,1;63,2643745;8,025;9,25;10,875;10,9
10;18/02/2024;21,4;27,2;30,9;33,1;63,2738245;8,275;9,1;10,8;10,9
11;18/02/2024;21,4;27,2;30,9;33,1;63,2549245;9;9,1;10,75;10,9
12;18/02/2024;21,4;27,2;30,9;33,1;63,2265745;9,95;9,225;10,625;10,9
13;18/02/2024;21,475;27,2;30,9;33,1;63,2076745;11;9,55;10,6;10,8
14;18/02/2024;21,5;27,2;30,9;33,1;63,1698745;11,85;9,925;10,525;10,8
15;18/02/2024;21,525;27,2;30,9;33,1;63,1604245;12,25;10,325;10,5;10,8
16;18/02/2024;21,575;27,2;30,9;33,1;63,1415245;12,8;10,65;10,5;10,8
17;18/02/2024;21,525;27,225;30,9;33,1;63,1287245;13,1;10,95;10,575;10,8
18;18/02/2024;21,55;27,3;30,9;33,025;63,0442745;12,975;11,225;10,6;10,8
19;18/02/2024;21,5;27,25;30,9;33,075;63,0659245;12,5;11,35;10,65;10,7
20;18/02/2024;21,4;27,2;30,9;33,05;62,9564745;11,875;11,35;10,775;10,7
21;18/02/2024;21,4;27,2;30,9;33,05;62,9564745;11,45;11,275;10,8;10,7
22;18/02/2024;21,35;27,2;30,9;33,1;63,0564745;11,05;11,15;10,9;10,7
23;18/02/2024;21,3;27,2;30,9;33,1;63,0659245;10,75;11;10,9;10,7
0;19/02/2024;21,3;27,2;30,9;33,1;63,0564745;10,475;10,875;10,975;10,7
1;19/02/2024;21,3;27,175;30,9;33,1;63,0503745;10,225;10,75;11;10,725
